,0,1
PT82_R1_untreated_24h,-4.328132,4.78584
PT82_R1_untreated_8h,-4.9252887,4.926091
PT82_R2_C_albicans_24h,-4.0166583,5.111771
PT82_R2_C_albicans_8h,-5.100695,5.1195517
PT82_R2_IFN_beta_24h,-3.122347,9.058804
PT82_R2_IFN_beta_8h,-3.5976655,8.910252
PT82_R2_IFN_gamma_24h,-5.6329165,8.161289
PT82_R2_IFN_gamma_8h,-5.6269493,8.559051
PT82_R2_LCMV_Cl13_24h,-1.3728212,3.8917844
PT82_R2_LCMV_Cl13_8h,-3.6497262,5.0093193
PT82_R2_LO28_24h,0.5843933,3.4560208
PT82_R2_LO28_8h,0.610294,3.1601136
PT82_R2_LPS_24h,0.27544472,3.0549555
PT82_R2_LPS_8h,0.43704742,2.9191957
PT82_R2_untreated_24h,-4.4325666,4.632474
PT82_R2_untreated_8h,-4.9756026,5.0829077
